GSM2947882	GSM2947883	GSM2947884	GSM2947885	GSM2947886	GSM2947887	GSM2947888
AAAS	5.49550618	4.815939131	5.452594776	7.228870627	4.948876933	4.774461857	6.029998983
ABCA13	9.316210018	9.513129079	9.810788344	9.851171379	8.325714254	13.8089119	9.629505436
ABCC3	6.694232506	7.720171053	6.749321066	9.019509001	8.144782116	7.349296269	8.095393858
ABCC4	8.584466489	6.975783783	6.801606195	7.353819926	8.850678177	7.537228497	7.808639894
ABCE1	10.16531907	9.894011781	9.099916097	9.521008715	9.962481207	8.958452376	9.253392982
ABHD14B	8.688480073	9.015939903	8.809469432	7.852324131	9.277787432	8.535341094	9.078841161
ABHD5	8.178993434	7.593265617	8.036904942	9.289245899	7.759806977	9.380447428	9.644860857
ACAA2	9.106809977	9.312804013	8.234372462	5.726606732	9.681416234	8.32559419	9.226560549
ACADVL	10.81595562	11.75740459	11.2776367	10.59304558	11.60104229	11.03621895	10.95336056
ACAP3	5.787619215	7.655484928	8.223441375	6.545256573	8.016789349	6.652887984	6.635228228
ACAT1	6.60923711	5.861834556	7.139478704	8.247235898	7.62849293	7.034922185	7.838373212
ACER3	9.922699011	9.471456355	9.789767392	9.627658633	9.385427154	8.367591228	9.786017665
ACHE	7.82511843	6.052740838	7.772907038	8.458860575	7.649582409	5.42370993	7.199743987
ACKR1	5.028280938	3.465186969	4.222134517	4.813451321	4.572675673	5.113076185	4.459982361
ACO1	8.191095744	7.890567074	7.828929828	7.191532055	8.924207395	7.349994161	8.671858407
ACOX2	5.232311552	6.814382509	3.101165119	3.916648611	5.023563644	6.865560075	3.792497236
ACP5	7.622556308	7.377318132	6.809586796	7.230935014	8.049800096	7.203744414	6.647387909
ACP6	7.64410287	6.698297669	7.736512201	8.386024991	9.997679115	8.512553226	8.96576149
ACSL4	8.038605731	8.725697196	6.932091889	6.31372673	9.134433508	6.67766609	8.200389588
ACSS1	9.721384964	9.3217748	8.75896403	9.030893591	9.382568047	8.589541044	9.353519143
ACTL6A	10.32464974	10.04343337	9.312089709	8.426010164	9.821094719	9.089630029	8.567728344
ACTN1	4.999218028	4.600137112	6.412297498	4.808511191	5.85628533	4.063851494	5.685940148
ACTN2	8.215707714	7.903893291	7.111659433	8.858572876	8.341410742	6.691901213	7.692006565
ACTR2	9.281494487	6.543491089	5.406645168	8.051251364	9.672140841	7.28991283	6.15095746
ACTR3	8.201836236	7.980045871	7.853387537	8.475878098	7.869484654	8.383885266	8.549325319
ACYP1	8.625249299	9.251788906	8.993981683	8.655202614	9.874207708	8.68129394	8.78824263
ADA	8.083121335	9.996789816	7.755344283	7.976906606	9.79141542	7.971849304	7.386685084
ADAM3A	6.989294579	5.305149381	5.750463943	7.806055267	6.052994439	7.071070797	7.454936694
ADAM8	7.134472527	5.827582281	7.978021118	3.730832302	4.997046216	7.532651253	8.657236977
ADAMTS16	7.589848111	5.650712295	5.95349783	8.304160547	7.47054988	6.246389844	7.64791311
ADARB1	7.770046053	7.541932942	8.101163648	7.781332171	8.437601866	8.025314558	6.620086072
ADCK2	9.204271326	8.665986049	9.371569752	8.484173586	9.866810483	7.677604785	8.878892367
ADCY2	7.861343156	6.978565181	7.020374408	8.393090517	7.729671042	6.850864417	8.679817158
ADCY4	4.868378599	8.173829017	7.742198935	9.234601669	7.940470413	8.62848564	7.767350895
ADD2	8.539569068	7.976392279	8.313738338	8.808814268	8.398136136	8.341923055	8.748616202
ADGB	3.753683686	6.44775506	6.700481334	6.03747096	7.157331776	6.574288798	7.265984404
ADRB2	11.62502157	11.32125111	13.02930086	10.29083445	10.16267959	12.77869462	11.71879827
ADSS	6.597754623	5.234543089	5.866301701	8.051078399	6.583508554	6.075679375	7.49918975
AGAP11	9.240957292	9.721378128	9.360671098	9.916306748	7.617579864	9.431163688	8.501436358
AGBL3	6.356381187	8.384589507	6.317082791	7.247684513	7.311854555	6.820466196	7.434806677
AGFG1	9.897365385	9.23930829	9.940940171	9.994739518	9.383971425	9.612376644	9.840620587
AGFG2	7.835704319	7.357433241	7.314128217	7.797661526	6.862168677	7.10672624	8.49046263
AGO4	8.562413782	8.660220572	9.500537976	9.667258111	9.49822633	9.93050909	9.447282875
AGPAT5	9.263163078	9.568573888	8.382458458	7.922089595	9.987124711	7.453008826	8.952640211
AGTPBP1	9.34401733	8.04160878	9.886756959	9.787080609	8.712439301	13.29817572	9.857099096
AHSP	12.27727752	9.276155818	8.140411086	8.885956523	9.762880459	11.03653768	9.570144308
AIDA	9.367706319	11.79089093	7.706501544	8.111894646	9.007212324	8.118444866	7.909914079
AIFM1	7.799141069	7.665785002	7.289839997	8.536454327	8.673007606	7.163476593	8.038545925
AK1	8.482383252	7.538900499	5.250709231	7.91011562	7.02698481	6.243551796	5.762249408
AKAP1	9.012292667	9.723233106	9.22722676	8.527374567	9.977556127	8.359517656	8.902345868
AKAP8L	8.564695591	9.114618715	9.94120082	9.775655544	9.014500359	9.398955485	9.200737289
AKR1C3	11.47768694	8.09160411	6.355227218	6.483621041	8.015588444	9.07946825	6.668832522
AKTIP	9.124333305	9.107719512	9.997839977	9.433481538	9.091524246	9.950605906	9.307689899
ALAD	9.861856293	6.697851645	9.607525064	9.103956015	7.150227599	9.793371647	9.964510689
ALAS2	8.414065748	6.449625089	5.619722881	8.02398439	7.930890468	7.834657498	8.619929791
ALDH18A1	9.884920068	8.187527265	8.477912442	8.529324349	8.952069095	8.146188828	8.910452657
ALDH1A1	8.618489387	7.473087957	7.047465319	4.778312674	8.07802802	8.106314291	6.499435179
ALDH5A1	7.79027355	8.212717667	6.84379169	6.039450988	6.220368847	4.300158144	4.218226298
ALDH6A1	9.223763296	8.993316304	8.831748378	8.966699817	9.889491795	9.279410702	8.394997657
ALKBH3	8.329581543	8.266590733	7.553300595	3.259120299	6.330846623	3.212923977	4.484047879
ALKBH7	9.886099692	6.790872366	7.391696415	9.377786409	8.093655243	9.72241445	9.617580048
ALOX5	9.405819668	9.199989556	9.080720013	8.781282003	8.855135709	9.957636349	9.128416625
ALOX5AP	15.51566843	15.14657822	15.58501064	15.37924703	15.11128771	15.65600636	15.92393746
ALPK1	8.728333469	9.689399635	9.889463503	9.988211757	9.036548665	9.307390271	8.966613596
AMMECR1	9.224442377	8.890733951	8.241537525	8.533163063	9.566711666	9.24435432	9.204829828
AMPD3	7.390981453	6.871566465	7.345447828	7.296654709	7.551076836	7.607394679	8.802526705
ANAPC5	9.412895184	9.711392689	9.992000775	9.281430038	8.433616318	9.919933237	9.759847248
ANK1	9.950689152	8.566398493	8.377617031	9.895220207	9.124116658	9.274903415	9.329333077
ANKH	8.125620109	8.339410448	7.355623311	7.942059926	7.540480676	6.854974322	8.90365443
ANKRD22	13.85775167	12.872702	13.20492765	13.63252156	11.46662508	13.45107714	13.24260102
ANKRD9	9.877349786	8.946509515	9.656713195	8.249369488	9.56143173	9.027151839	9.480829978
ANO4	5.520958052	6.518897026	5.309461438	6.89600901	6.817597678	7.010942043	7.87295739
ANXA1	9.958490801	8.78992972	9.657354003	9.895968732	9.060323322	9.381129766	9.7124436
ANXA3	15.24804615	15.38225216	15.42464363	14.65580964	14.70749556	15.7958091	15.25625772
ANXA4	12.37153055	12.51946106	12.7192641	12.16534356	11.77995732	13.67918977	13.33765953
AP2B1	9.975512685	9.42661553	9.593610358	9.689266832	9.988191871	9.749099282	9.935081197
AP3B2	6.680758957	6.005386738	6.231895657	5.527899196	7.408856191	5.750979992	6.906640507
AP3S1	14.55181158	14.299437	14.99250999	14.63868253	14.3841382	15.27711628	15.13457753
APAF1	8.790099201	8.448900125	9.002163547	8.775162836	8.767153555	9.13458855	9.366500573
APC	8.531742479	9.568644755	8.95951139	8.70340183	9.291260505	9.704721042	8.914196747
APH1B	9.593107225	9.496355288	9.667543221	9.644426302	9.046225835	10.7408989	9.295638776
APMAP	13.76301313	13.86726136	14.7010817	14.68476505	13.64690404	14.96937213	14.56138641
APOBEC3B	10.74050093	11.72911172	9.907066564	7.953491661	10.41392723	8.848955567	9.531536834
APOBR	9.102015052	8.338335714	9.894461289	10.89982516	9.166735778	9.540772408	10.30345656
