probes	moduleColor
ABCE1	blue
ACO1	blue
ACP5	blue
ACSL4	blue
ACSS1	blue
ACTR2	blue
ADCY4	blue
AGAP11	blue
AGO4	blue
AGPAT5	blue
AIDA	blue
AK1	blue
AKAP1	blue
AKAP8L	blue
AKTIP	blue
ALPK1	blue
ANXA4	blue
AP3B2	blue
AP3S1	blue
APAF1	blue
APMAP	blue
APOM	blue
ARHGAP9	blue
ARL11	blue
ARL6	blue
ASPM	blue
ATP11A	blue
ATP9A	blue
B4GALT5	blue
BCL2L15	blue
BIVM	blue
BST1	blue
BUB1	blue
C11orf1	blue
C11orf96	blue
C17orf99	blue
C5orf63	blue
CA2	blue
CA4	blue
CAPG	blue
CAPN3	blue
CAPRIN2	blue
CARD6	blue
CASP8	blue
CCDC125	blue
CCDC126	blue
CCDC34	blue
CCDC97	blue
CCHCR1	blue
CCNB1	blue
CCNB2	blue
CCPG1	blue
CCT2	blue
CCT7	blue
CD101	blue
CD300A	blue
CDA	blue
CDC20	blue
CDC42BPA	blue
CDC42EP3	blue
CDKN2D	blue
CFP	blue
CHI3L1	blue
CISD2	blue
CLDN8	blue
CLEC12A	blue
CLEC4E	blue
CLGN	blue
CLIC3	blue
CLN6	blue
CMBL	blue
CMSS1	blue
COL4A3BP	blue
CPT1A	blue
CRIP3	blue
CSF2RA	blue
CSPP1	blue
CST3	blue
CTTN	blue
CXCR1	blue
CXCR2	blue
CYB5A	blue
CYFIP2	blue
CYP4F3	blue
CYTL1	blue
DAPK2	blue
DDB1	blue
DDX1	blue
DENND5B	blue
DLAT	blue
DLGAP5	blue
DNAJC9	blue
DNASE1L1	blue
DNMT3B	blue
DNPH1	blue
DUSP15	blue
DYRK3	blue
ECI2	blue
EHD4	blue
EIF2AK1	blue
EIF4E3	blue
EMB	blue
ENO2	blue
ERP27	blue
FAHD2A	blue
FAM127B	blue
FAM168A	blue
FAM217B	blue
FAM35A	blue
FAM49B	blue
FARS2	blue
FAS	blue
FH	blue
FLOT1	blue
FLVCR1	blue
GAD1	blue
GADD45GIP1	blue
GALNT6	blue
GCAT	blue
GFI1B	blue
GFM1	blue
GJB6	blue
GLO1	blue
GNG10	blue
GPATCH4	blue
GSR	blue
GYPC	blue
HIF3A	blue
HIP1	blue
HIST1H4J	blue
HLTF	blue
HMGN5	blue
HS2ST1	blue
HS3ST3A1	blue
HUWE1	blue
ICAM2	blue
ICK	blue
ICMT	blue
IFRD2	blue
IFT172	blue
IGF1R	blue
IL16	blue
IL18RAP	blue
INHBA	blue
IPO7	blue
IRAK3	blue
ITGAM	blue
ITGB2-AS1	blue
ITPA	blue
KATNB1	blue
KDM7A	blue
KIAA0513	blue
KIF21B	blue
KIF2C	blue
KLHDC8B	blue
KTN1	blue
LAMP2	blue
LAS1L	blue
LILRB2	blue
LINC00899	blue
LIPA	blue
LMAN1	blue
LMNA	blue
LOC100506691	blue
LOC100996263	blue
LOC101927451	blue
LOC286382	blue
LOC339988	blue
LPGAT1	blue
LRBA	blue
LRPPRC	blue
LRRC4	blue
LST1	blue
LZTFL1	blue
MAFG	blue
MAGED1	blue
MAGEH1	blue
MBNL3	blue
MCCC1	blue
MCEMP1	blue
MCM4	blue
MECR	blue
MGAM	blue
MGAT4A	blue
MOB1B	blue
MPP6	blue
MR1	blue
MRPL1	blue
MRPL11	blue
MRPL12	blue
MRPL15	blue
MRPL37	blue
MRPS17	blue
MRPS9	blue
MRS2	blue
MRTO4	blue
MSRA	blue
MTMR2	blue
MUC1	blue
MYC	blue
MYD88	blue
NAP1L5	blue
NCF2	blue
NCF4	blue
NDST1	blue
NDUFAF2	blue
NEK2	blue
NF2	blue
NFATC2	blue
NFIA	blue
NHP2	blue
NME7	blue
NMNAT3	blue
NPM1	blue
NPM3	blue
NT5DC2	blue
NUBP2	blue
NUDT6	blue
NUP160	blue
NUP205	blue
NUP37	blue
OGFOD3	blue
OPTN	blue
ORC5	blue
ORM1	blue
OSCAR	blue
PAFAH1B3	blue
PARP1	blue
PARPBP	blue
PAXIP1-AS1	blue
PCK2	blue
PDLIM1	blue
PEBP1	blue
PECR	blue
PELI2	blue
PGM5	blue
PGRMC2	blue
PHF10	blue
PIEZO1	blue
PLA2G12A	blue
PLEKHA8	blue
PLXNC1	blue
PM20D2	blue
POLD2	blue
POLR1C	blue
POP7	blue
PPM1M	blue
PPP1CC	blue
PPP1R18	blue
PRKAR2B	blue
PRMT2	blue
PRMT5	blue
PRPF19	blue
PSMG4	blue
PSPH	blue
PTCD2	blue
PTK2	blue
PTPRC	blue
PWP1	blue
RAB24	blue
RAB27A	blue
RABGAP1L	blue
RAD23A	blue
RAD50	blue
RASSF2	blue
RCCD1	blue
RETN	blue
REXO2	blue
RFESD	blue
RFT1	blue
RGL2	blue
RILP	blue
RNA45S5	blue
RTN3	blue
RUFY3	blue
S100A6	blue
SAAL1	blue
SAC3D1	blue
SCFD2	blue
SCOC	blue
SDF2L1	blue
SDHA	blue
SEPT11	blue
SHOX2	blue
SIGMAR1	blue
SIRPA	blue
SIRPB1	blue
SLC11A2	blue
SLC25A15	blue
SLC25A37	blue
SLC2A12	blue
SLC51A	blue
SMIM5	blue
SNRK-AS1	blue
SPATA13	blue
SRM	blue
SSBP2	blue
SSFA2	blue
SSRP1	blue
ST6GALNAC4	blue
STAT3	blue
STBD1	blue
STK40	blue
STX3	blue
SVIL	blue
SVIP	blue
SYNE1	blue
TACSTD2	blue
TAF1B	blue
TCF3	blue
TGIF1	blue
TIMM10	blue
TIMM21	blue
TM6SF1	blue
TMEM109	blue
TMEM143	blue
TMEM14A	blue
TMEM154	blue
TMEM41A	blue
TMUB2	blue
TNFRSF10C	blue
TOR1B	blue
TRAF4	blue
TRAP1	blue
TRIP13	blue
TROAP	blue
TRPM6	blue
TSPAN18	blue
TTC27	blue
TTK	blue
TUBB6	blue
TWISTNB	blue
UBE2B	blue
UROS	blue
USP11	blue
UTP20	blue
VASP	blue
VAV3	blue
VDAC3	blue
VEPH1	blue
VPS53	blue
WDR4	blue
WDR70	blue
WDR74	blue
YBX3	blue
ZAK	blue
ZBED3	blue
ZC2HC1A	blue
ZNF398	blue
ZNF609	blue
ZNF641	blue
ZNF827	blue
ABCC4	brown
ACAT1	brown
ACKR1	brown
ACP6	brown
ADAMTS16	brown
ADCY2	brown
ADD2	brown
ADSS	brown
AGFG2	brown
ALAS2	brown
ALDH18A1	brown
ANK1	brown
ANO4	brown
AP2B1	brown
APOC1	brown
APOE	brown
APRT	brown
ARHGAP25	brown
ARL8A	brown
ARL9	brown
ATF5	brown
ATP7B	brown
B3GALNT1	brown
BAGE	brown
BDNF-AS	brown
BHLHE40	brown
BIN1	brown
BIRC5	brown
BMS1P20	brown
BTN2A1	brown
C10orf10	brown
C16orf95	brown
C19orf70	brown
C1orf112	brown
C20orf187	brown
C2orf57	brown
CAD	brown
CALR	brown
CAMP	brown
CCDC153	brown
CD24	brown
CD320	brown
CD99	brown
CDY1	brown
CHST3	brown
CLRN1	brown
COCH	brown
COMMD5	brown
COPG1	brown
CRISP3	brown
CRP	brown
CXCL6	brown
CYBB	brown
CYP4A11	brown
DDHD2	brown
DHRS11	brown
DMTN	brown
DPM2	brown
DPP6	brown
DPP7	brown
DTYMK	brown
EBF2	brown
EGF	brown
ELAVL2	brown
EME2	brown
EML4	brown
ENTPD1	brown
EPRS	brown
ESCO2	brown
FAM160B1	brown
FAM200B	brown
FAM83A	brown
FBXO9	brown
FBXW12	brown
FCAR	brown
FGD3	brown
FGF1	brown
FGF7	brown
FGFR3	brown
FGFR4	brown
FKBP15	brown
FOXK1	brown
FTSJ1	brown
FUNDC2	brown
FYN	brown
GAS7	brown
GDPD5	brown
GRIN3A	brown
HES6	brown
HMGA1	brown
HOXA13	brown
HOXB8	brown
HOXD10	brown
HRASLS	brown
HTRA3	brown
HYDIN	brown
IGHM	brown
IL25	brown
IL6R	brown
ILF3	brown
INF2	brown
IQGAP3	brown
ITGB3	brown
JAK1	brown
KARS	brown
KEL	brown
KIAA1462	brown
KLHL35	brown
KRT40	brown
KRT6A	brown
KY	brown
LANCL1	brown
LBH	brown
LCN2	brown
LINC00424	brown
LINC00521	brown
LINC00689	brown
LOC100128751	brown
LOC100288238	brown
LOC100291666	brown
LOC100506526	brown
LOC100507377	brown
LOC101927553	brown
LOC101927907	brown
LOC101928504	brown
LOC101928551	brown
LOC101929628	brown
