probes	moduleColor
AAAS	blue
ABHD14B	blue
ACAA2	blue
ACADVL	blue
ACTL6A	blue
ADAM8	blue
AGO4	blue
ALDH1A1	blue
ALPK1	blue
AMMECR1	blue
ANKRD9	blue
ANXA1	blue
APOBEC3B	blue
APOBR	blue
APOH	blue
ARMC10	blue
ARPC5	blue
ASAH1	blue
ASXL3	blue
ATIC	blue
AVEN	blue
BAIAP2	blue
BATF	blue
BBS9	blue
BICD2	blue
BLVRB	blue
BOLA3	blue
C17orf99	blue
C1orf198	blue
C1QBP	blue
C9orf84	blue
CA1	blue
CA2	blue
CCDC126	blue
CCDC167	blue
CCDC186	blue
CCDC22	blue
CCDC25	blue
CCNG1	blue
CCT2	blue
CD177	blue
CD81	blue
CDCA5	blue
CDK1	blue
CDK4	blue
CDKN3	blue
CEACAM3	blue
CEBPE	blue
CEP152	blue
CEP85	blue
CHI3L1	blue
CNRIP1	blue
COPS7B	blue
CORO1A	blue
CORO2A	blue
CPOX	blue
CPXM1	blue
CSGALNACT2	blue
CTDSP1	blue
CXorf38	blue
CYC1	blue
DAGLB	blue
DCTD	blue
DDIT4	blue
DDX1	blue
DDX54	blue
DGKE	blue
DIAPH2	blue
DNASE1	blue
DNMT1	blue
DPH2	blue
DR1	blue
ECT2	blue
EFHD2	blue
EIF5A	blue
EMD	blue
EML2	blue
ENOSF1	blue
EPDR1	blue
ERCC1	blue
ESPL1	blue
F12	blue
FAM127B	blue
FANCA	blue
FANCG	blue
FANCI	blue
FARSB	blue
FBXO4	blue
FGFR3	blue
FIS1	blue
FNIP2	blue
FOLR3	blue
FSTL3	blue
GABBR1	blue
GAD1	blue
GALNS	blue
GBGT1	blue
GEN1	blue
GLRX5	blue
GMDS	blue
GOT2	blue
GPSM3	blue
GRK6	blue
GTF2IRD2	blue
GTF3A	blue
GTSE1	blue
GYPC	blue
HBZ	blue
HEBP1	blue
HELLS	blue
HELZ2	blue
HIF3A	blue
HINT2	blue
HK3	blue
HMGN3	blue
